x,y
2,6
0,10
0,9
9,7
4,7
6,5
6,3
5,10
2,1
9,10
6,7
1,0
1,1
9,0
6,4
5,0
8,8
2,5
9,4
0,6
2,4
2,5
8,9
2,2
7,10
3,9
10,4
0,6
5,6
5,5
10,8
3,6
2,6
3,4
0,10
4,2
6,8
9,2
0,4
10,5
9,8
1,5
1,9
5,0
2,8
5,2
2,0
4,1
5,6
2,4
6,9
8,2
5,4
2,0
1,9
6,10
9,10
0,7
3,2
7,2
7,9
5,10
8,7
9,9
8,7
8,1
8,4
2,7
3,4
0,1
5,6
9,4
10,4
1,10
0,2
7,3
8,9
1,10
10,6
10,0
10,7
9,8
6,9
2,9
8,7
6,1
0,0
0,8
0,2
7,7
5,6
5,0
0,3
10,6
8,7
3,9
8,7
0,0
8,0
8,7
